,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
0,España,3.238.238,3.041.827,6.280.065,"13,46%","4,13"
1,Alemania,4.848.689,4.963.574,9.812.263,"12,23%","0,82"
2,Reino Unido,3.454.456,3.665.208,7.119.664,"11,30%","1,52"
3,Francia,3.554.527,3.755.459,7.309.986,"11,25%","0,59"
4,Italia,2.663.889,3.124.004,5.787.893,"9,75%","2,94"
5,Portugal,371.536,391.289,762.825,"7,22%","-0,12"
6,Estados Unidos,21.694.169,22.489.474,44.183.643,"14,28%","1,00"
7,Japón,972.481,1.161.670,2.134.151,"1,67%","0,10"
8,China,505.758,344.103,849.861,"0,06%","0,01"
9,Andorra,27.287,24.766,52.053,"66,64%","2,61"
10,Emiratos Árabes Unidos,5.463.446,1.853.251,7.316.697,"88,54%","8,63"
11,Afganistán,57.709,44.537,102.246,"0,42%",0
12,Antigua y Barbuda,11.788,14.624,26.412,"31,07%","0,14"
13,Albania,26.901,25.883,52.784,"1,82%","-0,34"
14,Armenia,85.669,125.478,211.147,"6,47%","-8,10"
15,Angola,160.275,171.851,332.126,"1,44%","1,13"
16,Argentina,831.696,974.261,1.805.957,"4,43%","0,09"
17,Austria,608.918,667.074,1.275.992,"15,24%","1,47"
18,Australia,2.922.030,2.960.950,5.882.980,"26,53%","2,51"
19,Azerbaiyán,129.512,147.389,276.901,"3,04%","-0,54"
20,Bosnia y Herzegovina,18.504,20.288,38.792,"1,01%","-0,22"
21,Barbados,14.746,18.079,32.825,"11,72%","0,54"
22,Bangladés,710.548,634.998,1.345.546,"0,91%","0,07"
23,Bélgica,726.881,776.925,1.503.806,"13,67%","1,79"
24,Burkina Faso,320.939,353.499,674.438,"4,32%","-0,13"
25,Bulgaria,33.841,42.446,76.287,"1,04%","0,24"
26,Baréin,475.905,181.951,657.856,"53,27%","7,82"
27,Burundi,115.823,119.436,235.259,"2,68%","0,38"
28,Benín,143.575,165.549,309.124,"3,36%","0,58"
29,Brunéi,56.723,43.864,100.587,"25,99%","-1,43"
30,Bolivia,64.380,58.466,122.846,"1,22%","0,05"
31,Brasil,319.882,272.686,592.568,"0,30%","-0,05"
32,Bahamas,27.878,26.858,54.736,"15,87%","1,84"
33,Bután,39.283,9.137,48.420,"7,26%","0,81"
34,Botsuana,53.881,40.733,94.614,"4,76%","0,06"
35,Bielorrusia,499.384,590.994,1.090.378,"11,50%","0,15"
36,Belice,23.459,22.901,46.360,"14,40%","-0,19"
37,Canadá,3.236.539,3.524.687,6.761.226,"19,88%","1,03"
38,República Democrática del Congo,284.244,304.706,588.950,"0,89%","-0,22"
39,República Centroafricana,49.743,43.723,93.466,"2,13%","-0,21"
40,República del Congo,231.105,194.068,425.173,"11,63%","1,77"
41,Suiza,1.005.381,1.069.801,2.075.182,"26,37%","2,17"
42,Costa de Marfil,1.310.459,1.056.078,2.366.537,"11,35%","-1,00"
43,Chile,178.111,197.277,375.388,"2,20%","0,49"
44,Camerún,161.485,129.989,291.474,"1,43%","-0,07"
45,Colombia,65.622,58.649,124.271,"0,28%","0,02"
46,Costa Rica,195.873,209.531,405.404,"8,90%","0,40"
47,Cuba,2.904,3.736,6.640,"0,06%","-0,05"
48,Cabo Verde,7.293,7.080,14.373,"2,86%","0,19"
49,Chipre,83.931,107.935,191.866,"22,85%","7,10"
50,Chequia,236.160,162.333,398.493,"3,80%","0,65"
51,Yibuti,53.295,48.280,101.575,"12,09%","0,33"
52,Dinamarca,242.029,258.743,500.772,"9,01%","0,90"
53,Dominica,4.200,3.910,8.110,"11,42%","4,74"
54,República Dominicana,238.742,154.978,393.720,"4,15%","-0,04"
55,Argelia,114.727,102.237,216.964,"0,60%",0
56,Ecuador,167.773,157.593,325.366,"2,17%","0,80"
57,Estonia,87.644,130.246,217.890,"16,39%","-0,91"
58,Egipto,174.104,135.913,310.017,"0,39%","-0,01"
59,Eritrea,8.603,7.073,15.676,"0,49%","-0,02"
60,Etiopía,298.069,270.679,568.748,"0,69%","0,01"
61,Finlandia,115.105,113.376,228.481,"4,25%","0,59"
62,Fiyi,7.137,6.214,13.351,"1,57%","0,06"
63,Estados Federados de Micronesia,1.503,1.303,2.806,"2,72%","-0,02"
64,Gabón,158.680,112.149,270.829,"16,82%","-0,32"
65,Granada,3.463,3.517,6.980,"6,58%","0,01"
66,Georgia,31.972,41.062,73.034,"1,63%","-0,01"
